0.162651,3647.23,-39.1159,-4.48637,0.0657877,17035.8,0
0.323872,3641.62,-37.9573,-0.51919,0.182739,25889.5,0
0.484682,3634.47,-12.207,6.75479,0.371936,32045.3,0
0.644334,3643.3,-17.5291,15.0823,0.173555,10398.1,0
0.801528,3644.42,-20.4322,14.3807,0.148166,6967.29,0
0.963206,3641.41,-14.9595,-12.1278,0.217897,8919.45,0
1.12087,3618.39,-26.2772,-45.5866,0.650431,28199.7,0
1.27979,3615.07,-21.0442,-45.7858,0.736701,27297,0
1.44062,3627.1,-29.0201,-36.4232,0.468761,15896.6,0
1.59835,3621.26,-44.5865,-45.8726,0.538601,17978.9,0
1.76353,3628.7,-54.3883,-30.2985,0.37893,12079,0
1.9242,3620.73,-85.8742,-48.1812,0.380688,15213,0
1.92896,3621.44,-87.1179,-49.1265,0.358381,14808,0
