1.19008,3640.79,-83.9521,-31.2345,1.76095,7737.36,0,0
2.38161,3628.25,-62.4796,-46.0961,4.4422,9130.67,0,0
3.57003,3616.81,-35.2391,-41.8888,7.43601,9296.82,0,0
4.77298,3622.53,-85.3152,-63.2151,3.91919,5755.58,0,0
5.98084,3617.97,-65.6102,-45.4417,5.97363,5355.22,0,0
7.19239,3601.07,-66.0354,-28.7127,9.19734,6803.7,0,0
8.41594,3585.76,-67.8245,-62.9264,10.1427,7633.66,0,0
9.63739,3540.4,6.37729,-31.2693,5.61426,11372.7,0,0
10.8676,3535.8,-10.8419,-34.2248,6.89807,10508.4,0,0
11.715,3494.84,-0.476277,-1.80869,22.4197,13244.6,2,2
