1.2043,3636.63,-17.6232,-19.9937,2.54853,11105.3,0,0
2.4063,3618.75,-48.1757,-86.9266,3.4948,12988.2,0,0
3.61553,3589.82,-40.6102,-155.355,5.38741,16644.9,0,0
4.81637,3581.31,-53.7573,-157.403,6.38137,14260.9,0,0
6.00167,3542.53,-75.0989,-136.82,4.61948,17906.5,0,0
7.20984,3559.72,-113.15,-104.615,0.946382,12521.6,0,0
8.40399,3525.46,-79.0022,-168.069,5.32686,14819.1,0,0
9.62576,3493.26,-33.1065,-136.128,8.76321,16283.4,0,0
10.8112,3475.48,-44.2785,-152.413,8.99284,16142.7,0,0
11.1014,3449.54,-61.5067,-142.129,5.13229,18057.5,0,0
