
0.0531		4.2e+24
0.1298		3.5e+24
0.1711		3.5e+24
0.2478		4.2e+24
0.312		3.1e+24
0.442		2.7e+24
0.620		2.29e+24
0.809		2.16e+24
0.977		2.01e+24
0.985		1.99e+24
1.121		1.85e+24
1.275		1.75e+24
1.487		1.66e+24
1.871		1.47e+24
2.106		1.42e+24
2.425		1.42e+24
2.655		1.43e+24
3.08		1.60e+24

